Recipe and Tag reference

Available Tags:
0: 	untagged
884: 	LightHurricaneLantern
885: 	DryOregano
886: 	FixWithGlue
887: 	RemovePropaneBottle
888: 	SharpenBlade
889: 	CarveGoblets
890: 	MillSeeds
891: 	DismantleMiscElectronics
892: 	MakeWoodenBarCastMold
893: 	PurifyWater
894: 	SewHideWallet
895: 	PackSetOfBooks
896: 	Forge_Metalworking_Pliers
897: 	Forge_Door_Knob
898: 	DryGreenpeas
899: 	ExtractIronFromMediumItem
900: 	Forge_Small_Metalworking_Punch_Set
901: 	DryLavender
902: 	CutUpLeather_Large
903: 	Scrap_Small_Gold_Object
904: 	remove_oxygen_tank
905: 	MakeKettleMaul
906: 	CreateBrainTan
907: 	FireClayMug
908: 	MakeStoneMaul
909: 	CutSheet
910: 	OpenDentedUnlabeledCanWithKnifeOrSharpStoneFlake
911: 	MakeSpikedClub
912: 	MakePigTuskEarrings
913: 	PressClayBrick
914: 	Forge_Silver_Sheets
915: 	SewTarpFannyBag
916: 	MakeStagHeadTrophy
917: 	Forge_Scissors
918: 	MakeTimer
919: 	Forge_Hinge
920: 	SewLongjohns
921: 	DryChamomile
922: 	SpinYarnFromWool
923: 	PressBlacksmithAnvilMold
924: 	MakeScrapMetalHelmet
925: 	SetCoffinFlat
926: 	AssembleLongerImplement
927: 	FireLimestoneLarge
928: 	SmashPigSkull
929: 	MakeBoneAwl
930: 	PressClayBrickManually
931: 	SewLongjohnsBottom
932: 	MakeTarpHeadSack
933: 	Assemble_Thigh_Armor
934: 	SewHideMask
935: 	DryParsley
936: 	Forge_Small_Copper_Sheet
937: 	Split_Gold_Bar
938: 	CarveSmallHandle
939: 	MakeBoneClub
940: 	SewNeckguard
941: 	KnitSweaterVest
942: 	CarveLongStick
943: 	MakeScrapMetalForearmArmor
944: 	AssembleShortImplement
945: 	FixWithZipties
946: 	CarveBat
947: 	MakeWoodenBlacksmithAnvilMold
948: 	MakeLongToothNecklace
949: 	Forge_Nails
950: 	MakeBoneFork
951: 	PackCannedFood
952: 	MakeOnigiri
953: 	SawCopperSheetIntoSmallSheets
954: 	Forge_Spade_Head
955: 	MakeStoneChisel
956: 	RollACigarette
957: 	FixWithAdhesiveTape
958: 	OpenBoxOfShotgunShells
959: 	MakeWoodenCrudeBenchVisePartsMold
960: 	SewHideHat
961: 	SewHideSack
962: 	MakeFirecracker
963: 	AssembleLongImplement
964: 	FireClaySheetMold
965: 	PrepareOmelette
966: 	GetWireBack
967: 	Carve2SmallHandles
968: 	DryRye
969: 	MakeBarbedWire
